ter Stegen 1,"95'14""",,,-,1,1,-,-,-,3,1,1,9,1,-,-,0,2,15,15,2,2,17,19,89%
Ivan Rakiti? 4,"19'19""",,-,,3,8,-,1,2,1,1,2,3,-,-,-,2,2,11,14,8,9,21,25,84%
Sergio Busquets 5,"77'16""",,-,1,,7,7,4,11,16,13,11,12,1,2,-,15,15,57,59,13,15,85,89,96%
Dani Alves 6,"95'14""",,-,4,6,,2,3,5,17,19,1,4,2,5,1,4,4,43,48,22,27,69,79,87%
Andrés Iniesta 8,"69'33""",,2,-,13,5,,5,9,4,5,8,5,-,2,-,7,7,33,38,18,22,58,67,87%
Luis Suárez 9,"95'14""",,-,1,1,1,2,,7,-,1,3,1,1,5,-,2,3,12,13,9,18,23,34,68%
Neymar 11,"95'14""",,1,3,3,4,11,7,,1,10,10,3,1,1,-,4,4,26,36,25,33,55,73,75%
Javier Mascherano 14,"95'14""",,4,6,16,10,7,2,1,,12,4,21,3,3,3,4,4,71,75,17,18,92,97,95%
Sergi Roberto 20,"95'14""",,-,2,12,15,3,4,17,7,,6,3,1,8,-,3,4,47,50,28,36,78,90,87%
Adriano 21,"95'14""",,-,1,5,-,11,10,25,6,2,,9,3,-,-,4,5,46,50,22,27,72,82,88%
Thomas Vermaelen 23,"95'14""",,2,3,14,2,9,-,4,18,5,22,,10,1,-,5,5,73,74,12,13,90,92,98%
Marc Bartra 15,"25'41""",,1,-,1,1,-,1,1,6,2,2,5,,1,3,2,3,16,16,6,6,24,25,96%
Munir El Haddadi 17,"75'54""",,-,-,3,10,2,5,1,1,6,-,-,-,,1,1,1,18,19,10,13,29,33,88%
Gerard Gumbau 28,"17'57""",,-,-,-,2,-,-,1,1,2,1,-,1,-,,0,0,6,6,2,2,8,8,100
Total passes received:,,,10,21,78,66,54,42,84,81,79,71,75,24,28,8,53,59,474,513,194,241,721,813,89%
